,0
1893,853
1894,1158
1895,607
1896,612
1897,5503
1898,974
1899,5558
1900,731
1901,575
1902,643
1903,744
1904,5503
1905,662
1906,706
1907,1245
1908,622
1909,650
1910,580
1911,660
1912,580
1913,2143
1914,625
1915,731
1916,1121
1917,671
1918,559
1919,648
1920,609
1921,1121
1922,657
1923,575
1924,612
1925,662
1926,825
1927,647
1928,2356
1929,837
1930,5558
1931,881
1932,753
1933,518
1934,669
1935,601
1936,744
1937,712
1938,720
1939,603
1940,587
1941,662
1942,1121
1943,699
1944,1012
1945,738
1946,714
1947,565
1948,753
1949,648
1950,5558
1951,648
1952,456
1953,2234
1954,731
1955,719
1956,555
1957,609
1958,620
1959,868
1960,731
1961,743
1962,788
1963,881
1964,769
1965,456
1966,881
1967,565
1968,591
1969,5558
1970,556
1971,589
1972,677
1973,815
1974,583
1975,632
1976,680
1977,5558
1978,593
1979,634
1980,642
1981,5503
1982,494
1983,597
1984,593
1985,602
1986,578
1987,5558
1988,611
1989,1245
1990,5558
1991,575
1992,900
1993,597
1994,647
1995,1414
1996,1121
1997,1012
1998,1414
1999,666
2000,580
2001,563
2002,662
2003,724
2004,853
2005,731
2006,586
2007,665
2008,2283
2009,643
2010,731
2011,623
2012,726
2013,1121
2014,3283
2015,1027
2016,620
2017,546
2018,513
2019,790
2020,5558
2021,597
2022,738
2023,5558
2024,5503
2025,582
2026,5558
2027,609
2028,609
2029,550
2030,662
2031,577
2032,731
2033,647
2034,1071
2035,647
2036,513
2037,740
2038,703
2039,592
2040,733
2041,581
2042,3887
2043,559
2044,593
2045,3841
2046,824
2047,662
2048,635
2049,661
2050,601
2051,821
2052,629
2053,593
2054,588
2055,595
2056,691
2057,609
2058,740
2059,662
2060,452
2061,1087
2062,617
2063,596
2064,923
2065,879
2066,636
2067,577
2068,707
2069,617
2070,853
2071,662
2072,1121
2073,662
2074,660
2075,5558
2076,1121
2077,823
2078,686
2079,594
2080,621
2081,551
2082,604
2083,628
2084,656
2085,652
2086,653
2087,562
2088,634
2089,5558
2090,648
2091,761
2092,609
2093,5558
2094,731
2095,753
2096,841
2097,573
2098,574
2099,629
2100,5558
2101,753
2102,3887
2103,638
2104,703
2105,872
2106,711
2107,587
2108,1121
2109,625
2110,743
2111,889
2112,609
2113,588
2114,575
2115,728
2116,824
2117,602
2118,1414
2119,664
2120,587
2121,5558
2122,705
2123,577
2124,618
2125,930
2126,662
2127,556
2128,5558
2129,650
2130,628
2131,1047
2132,733
2133,5503
2134,627
2135,662
2136,535
2137,629
2138,502
2139,5558
2140,633
2141,659
2142,753
2143,456
2144,807
2145,5558
2146,692
2147,700
2148,2346
2149,643
2150,5558
2151,872
2152,731
2153,609
2154,708
2155,600
2156,872
2157,790
2158,500
2159,486
2160,769
2161,937
2162,497
2163,587
2164,662
2165,3956
2166,780
2167,806
2168,577
2169,822
2170,648
2171,684
2172,620
2173,4714
2174,609
2175,916
2176,626
2177,662
2178,2346
2179,712
2180,595
2181,2139
2182,663
2183,870
2184,936
2185,631
2186,5558
2187,630
2188,654
2189,713
2190,636
2191,657
2192,909
2193,628
2194,646
2195,1104
2196,626
2197,634
2198,560
2199,1665
2200,634
2201,657
2202,5558
2203,598
2204,615
2205,1121
2206,670
2207,498
2208,630
2209,686
2210,5558
2211,731
2212,609
2213,860
2214,701
2215,718
2216,535
2217,1121
2218,523
2219,817
2220,5558
2221,689
2222,617
2223,555
2224,647
2225,601
2226,611
2227,5558
2228,585
2229,872
2230,5558
2231,591
2232,678
2233,733
2234,617
2235,5558
2236,1121
2237,593
2238,791
2239,656
2240,649
2241,753
2242,580
2243,609
2244,895
2245,1336
2246,731
2247,731
2248,733
2249,588
2250,719
2251,662
2252,642
2253,609
2254,738
2255,731
2256,788
2257,724
2258,557
2259,625
2260,479
2261,731
2262,563
2263,563
2264,668
2265,1121
2266,5558
2267,577
2268,834
2269,1071
2270,669
2271,586
2272,731
2273,655
2274,954
2275,618
2276,739
2277,500
2278,612
2279,736
2280,636
2281,593
2282,609
2283,609
2284,662
2285,641
2286,864
2287,860
2288,731
2289,541
2290,555
2291,580
2292,5558
2293,1466
2294,694
2295,662
2296,561
2297,596
2298,1683
2299,740
2300,662
2301,668
2302,636
2303,615
2304,2346
2305,5868
2306,854
2307,564
2308,653
2309,609
2310,609
2311,634
2312,5558
2313,1121
2314,1414
2315,513
2316,609
2317,980
2318,791
2319,1121
2320,649
2321,713
2322,864
2323,656
2324,1002
2325,945
2326,561
2327,481
2328,563
2329,509
2330,719
2331,631
2332,1047
2333,1077
2334,752
2335,958
2336,733
2337,617
2338,614
2339,5558
2340,5558
2341,2346
2342,5558
2343,664
2344,609
2345,662
2346,1027
2347,686
2348,664
2349,635
2350,553
2351,637
2352,636
2353,636
2354,5558
2355,731
2356,721
2357,576
2358,5503
2359,617
2360,638
2361,731
2362,834
2363,708
2364,750
2365,989
2366,563
2367,662
2368,649
2369,595
2370,707
2371,630
2372,639
2373,683
2374,2242
2375,1409
2376,555
2377,647
2378,465
2379,593
2380,731
2381,967
2382,5558
2383,587
2384,520
2385,561
2386,620
2387,555
2388,591
2389,731
2390,753
2391,594
2392,1121
2393,609
2394,609
2395,900
2396,736
2397,674
2398,612
2399,655
2400,753
2401,1121
2402,456
2403,1086
2404,679
2405,609
2406,623
2407,527
2408,731
2409,595
2410,609
2411,5503
2412,590
2413,5503
2414,496
2415,605
2416,5558
2417,654
2418,609
2419,731
2420,3254
2421,772
2422,637
2423,5503
2424,5558
2425,806
2426,872
2427,5558
2428,5702
2429,804
2430,624
2431,573
2432,661
2433,1045
2434,613
2435,573
2436,609
2437,5558
2438,1121
2439,629
2440,731
2441,652
2442,2143
2443,872
2444,1121
2445,989
2446,1064
2447,581
2448,600
2449,614
2450,593
2451,633
2452,1345
2453,583
2454,794
2455,724
2456,738
2457,5558
2458,696
2459,572
2460,745
2461,5558
2462,573
2463,806
2464,580
2465,753
2466,731
2467,635
2468,730
2469,777
2470,616
2471,541
2472,630
2473,609
2474,751
2475,853
2476,456
2477,1414
2478,1321
2479,834
2480,597
2481,466
2482,655
2483,733
2484,2735
2485,653
2486,740
2487,469
2488,646
2489,630
2490,828
2491,739
2492,1087
2493,733
2494,783
2495,731
2496,692
2497,549
2498,609
2499,587
2500,5558
2501,1306
2502,608
2503,584
2504,702
2505,555
2506,626
2507,662
2508,585
2509,639
2510,595
2511,2242
2512,1037
2513,5558
2514,670
2515,682
2516,731
2517,555
2518,606
2519,1017
2520,947
2521,609
2522,1121
2523,622
2524,610
2525,982
2526,889
2527,662
2528,665
2529,580
2530,5558
2531,1121
2532,930
2533,641
2534,662
2535,2706
2536,753
2537,5558
2538,609
2539,5503
2540,708
2541,806
2542,713
2543,632
2544,630
2545,1414
2546,614
2547,637
2548,665
2549,588
2550,583
2551,662
2552,814
2553,622
2554,584
2555,462
2556,711
2557,644
2558,653
2559,691
2560,2526
2561,696
2562,614
2563,631
2564,751
2565,657
2566,621
2567,5558
2568,603
2569,662
2570,663
2571,707
2572,583
2573,5558
2574,555
2575,5558
2576,694
2577,731
2578,5558
2579,936
2580,662
2581,662
2582,652
2583,1264
2584,642
2585,647
2586,1331
2587,751
2588,589
2589,1377
2590,580
2591,614
2592,662
2593,2139
2594,808
2595,3671
2596,1013
2597,731
2598,731
2599,1122
2600,578
2601,618
2602,853
2603,682
2604,731
2605,579
2606,491
2607,471
2608,638
2609,3887
2610,482
2611,555
2612,3671
2613,881
2614,578
2615,738
2616,734
2617,682
2618,622
2619,556
2620,1414
2621,753
2622,593
2623,616
2624,617
2625,555
2626,733
2627,1068
2628,594
2629,481
2630,747
2631,566
2632,739
2633,976
2634,843
2635,826
2636,597
2637,563
2638,600
2639,657
2640,577
2641,593
2642,2346
2643,5558
2644,588
2645,641
2646,561
2647,642
2648,665
2649,663
2650,561
2651,652
2652,593
2653,516
2654,681
2655,630
2656,731
2657,642
2658,752
2659,678
2660,610
2661,1086
2662,731
2663,3887
2664,751
2665,853
2666,2300
2667,708
2668,577
2669,548
2670,511
2671,1132
2672,678
2673,676
2674,688
2675,740
2676,731
2677,530
2678,5558
2679,662
2680,739
2681,623
2682,728
2683,1121
2684,456
2685,5558
2686,592
2687,614
2688,5558
2689,1352
2690,631
2691,1011
2692,658
2693,769
2694,650
2695,666
2696,656
2697,739
2698,662
2699,661
2700,828
2701,669
2702,5503
2703,653
2704,749
2705,834
2706,495
2707,853
2708,3667
2709,597
2710,652
2711,701
2712,731
2713,621
2714,641
2715,789
2716,481
2717,733
2718,649
2719,635
2720,1101
2721,801
2722,619
2723,5558
2724,723
2725,652
2726,770
2727,727
2728,733
2729,3246
2730,5558
2731,596
2732,491
2733,621
2734,1107
2735,810
2736,5558
2737,1414
2738,567
2739,662
2740,703
2741,597
2742,482
2743,3887
2744,621
2745,649
2746,622
2747,850
2748,993
2749,1121
2750,625
2751,650
2752,580
2753,781
2754,673
2755,591
2756,614
2757,678
2758,765
2759,695
2760,2139
2761,597
2762,614
2763,744
2764,1121
2765,5558
2766,696
2767,633
2768,577
2769,607
2770,609
2771,743
2772,793
2773,486
2774,579
2775,713
2776,674
2777,5558
2778,770
2779,567
2780,5558
2781,879
2782,1017
2783,587
2784,703
2785,609
2786,731
2787,743
2788,1121
2789,1084
2790,751
2791,5558
2792,641
2793,661
2794,3229
2795,585
2796,733
2797,649
2798,975
2799,5558
2800,644
2801,581
2802,1121
2803,801
2804,561
2805,649
2806,731
2807,532
2808,575
2809,1038
2810,3887
2811,622
2812,541
2813,685
2814,489
2815,1121
2816,580
2817,600
2818,662
2819,5503
2820,740
2821,572
2822,5503
2823,566
2824,517
2825,5558
2826,861
2827,584
2828,738
2829,641
2830,1074
2831,5558
2832,1085
2833,5558
2834,613
2835,5558
2836,5503
2837,3887
2838,5558
2839,683
2840,598
2841,5503
2842,739
2843,5558
2844,5470
2845,641
2846,640
2847,605
2848,762
2849,584
2850,827
2851,527
2852,5503
2853,666
2854,872
2855,597
2856,584
2857,1101
2858,659
2859,741
2860,740
2861,609
2862,5503
2863,558
2864,464
2865,588
2866,558
2867,653
2868,573
2869,592
2870,862
2871,704
2872,753
2873,631
