,android/provider/calllog$calls NONE,smsmanager getdefault,smsmanager sendtextmessage,smsmanager createfrompdu,smsmanager getdisplaymessagebody,smsmanager getmessagebody,smsmanager getoriginatingaddress,smsmanager getuserdata,locationmanager getlastknownlocation,locationmanager requestlocationupdates,packagemanager setcomponentenabledsetting,sslhttpsurlconnection getoutputstream,reflect/accessibleobject setaccessible,urlconnection getinputstream,urlconnection getoutputstream,deviceadminreceiver NONE,images$media getcontenturi,images$media insertimage,images$media getbitmap,wifimanager getconnectioninfo,wifimanager getwifistate,jsonobject put,assetmanager getassets,video$media getcontenturi,video$media getcontentresolver,runtime exec,runtime getruntime,telephonymanager getsubscriberid,telephonymanager getline1number,telephonymanager getnetworkoperator,telephonymanager getsimoperatorname,telephonymanager getsimserialnumber,telephonymanager getcallstate,contentresolver query,contentresolver delete,uuid tostring,fileoutputstream NONE,class getdeclaredmethod,crypto/cipher dofinal,crypto/cipher getinstance,gsm/smsmanager sendtextmessage,gsm/smsmanager createfrompdu,gsm/smsmanager getdisplaymessagebody,devicepolicymanager isadminactive,devicepolicymanager locknow,activitymanager restartpackage,system load,system loadlibrary,dexclassloader loadclass,android/provider/contacts NONE,android/provider/contacts$phones NONE,context getsystemservice,mediarecorder start,mediarecorder stop,string equalsignorecase,string split,/browser$ NONE,urlclassloader NONE,android/provider/contactscontract$commondatakinds$phone NONE,audiorecord startrecording,wifiinfo getmacaddress,environment getexternalstoragedirectory,environment getexternalstoragestate,telephony/itelephony endcall,uri parse,secureclassloader NONE,audiomanager setvibratesetting,audiomanager setringermode,zipoutputstream close,httpurlconnection getoutputstream,crypto/keygenerator generateKey,client/httpclient execute,audio/media getcontenturiforpath,pendingintent getbroadcast,pendingintent abortbroadcast,client/defaulthttpclient execute,secretkeyspec NONE,
02397432a9b50b6dd4c66e4afb70242080ad882b694e3810e6479f0bfaf84b8e,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,17
02674f1efba46fe0069afb074523a898320e1dee72ed5ab84b1f253e04e870e1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,32
02c824536ba87a4cf5e069e7b6862156c4733c89507bc841ddfdd4e8625585f6,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,29
02d21e4f9f15286aeb49975e931304ccf18adbf9f3ffab80912c0d70addca4d0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,14
02e343a4a26d66cb5c0a007ce114c124deb98633807b2f4710713ab665afdd60,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,31
02ee6c2741def801f9d94b9f17444a0875c2217c72e26f3692a79000887d20a1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,19
02fdea810e32d5fa4c71a6beb7cd61b7820c8aa52cfd01cbeab4d3be039cab97,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,18
032cc8f82e88f6eaf32897c37d389a80011d73a000b5241c93271243cc026cc0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,21
033d3fb143656df998da354e357ece75054b50786fa4ef0241c31d82ba4a7d18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10
03ca284071ff4f72b93ddbae4f18906d21b308a1264dbb473a0af8d8108b086d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4
03cd8c6ec2da4f4f8270f64e50c25bcde6da406748e51520a2f35bb79a2b6958,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8
0410b40033fb5787ff45c32e807ed302de89483460c676e02e8fcbf54a41843b,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13
04276a2518ea4f03e7842e74a2222a4d9d701e219b9ffb7b96c27340a3a39bca,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,32
044d93a8d15a70e7282ae4322996ced4dad58c081f52a162d729420f7e360c8f,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,21
0464a2d37636a5770bc6fef974c0d159f9460bac6201a93df7bd106b1ff70743,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13
04848eb56c4b4301ca97e952398df561241e844956d7e0d45a5df015ccdc16c7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8
04b22c16890c996a31e9e17f7d3a62697098d1c7dc5b97fedda1eca36b805a4f,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,27
04b4168e59b04ebdd53d9436fd80dad55d4748d3e49d9c550621df622c7f48df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04bea1e99a1ed12e34f6238a3de5246dff4b5845198b2d0bb91fd230ecf7a8d4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,29
04f4fe98b1b1067c32e89219c86851f47dbdbfb56404fb074feb1fb057251652,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,14
052a4d7ff087c62978f49a5ab79e4fa80da7c600262552cc4bf4cddc82e3962c,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
05589cbcf27c9e311683dc3a7ace9ce580062ee4cc24763021503ed061258366,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8
05820a5ea9543847bcda7d6306269f2ab9215480ef47d3439e4e832adeaca05b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05bab63a5ab45005e9446f87dd6a2a6bab5d249af492190c810113434cbe3be9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8
05f879a3e8e646ed91e9ae2497639ce68706a43725108d54c93756072fbbe4c5,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,30
061394cc72c1b299c54681eeb5d1ef7f5c5003bf1f88ed1b8e83b6f5aff98951,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
06210cea25083ba895bbe9d08686daaa5540edbb48e82ce6e1853b592114e45d,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
06235d7c92d826fff2b1713ff5d6f8217cca74bd817194298113785159544d35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,17
0630a96ce28d981ba74dc3351b7483699d2ea0412dcb660a898949f76ce5fc2f,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-77
0640c2acfc33b31ba2f354546d24dc6b333a801170eb8c0bf2d710c71155ffed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
06647e126c4a89aac59c9b6203918c3a3ec6d69737297056997362bee1447891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,16
06adc22e99ac4f058e393ebe9c2d73d6b2ee626c342c6a7e60d49c5bffb6a0e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06d331f803e2fa23fe6dbb97c0677334ea72b665593140c6cc3cd433c84bc01d,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7
