,0
1535,23
1536,19
1537,19
1538,7
1539,25
1540,31
1541,7
1542,18
1543,31
1544,8
1545,31
1546,8
1547,8
1548,29
1549,26
1550,31
1551,22
1552,31
1553,21
1554,8
1555,29
1556,15
1557,27
1558,12
1559,33
1560,29
1561,8
1562,36
1563,23
1564,5
1565,27
1566,19
1567,8
1568,7
1569,8
1570,20
1571,6
1572,32
1573,30
1574,31
1575,31
1576,31
1577,22
1578,32
1579,8
1580,25
1581,24
1582,12
1583,19
1584,25
1585,27
1586,19
1587,27
1588,8
1589,8
1590,5
1591,28
1592,8
1593,31
1594,1
1595,1
1596,12
1597,30
1598,8
1599,16
1600,29
1601,31
1602,7
1603,40
1604,25
1605,31
1606,9
1607,14
1608,25
1609,38
1610,22
1611,31
1612,31
1613,20
1614,8
1615,19
1616,5
1617,20
1618,19
1619,34
1620,4
1621,9
1622,31
1623,30
1624,1
1625,21
1626,33
1627,31
1628,15
1629,8
1630,10
1631,15
1632,8
1633,30
1634,20
1635,21
1636,11
1637,8
1638,8
1639,31
1640,10
1641,7
1642,17
1643,31
1644,34
1645,8
1646,27
1647,8
1648,17
1649,8
1650,16
1651,8
1652,13
1653,8
1654,0
1655,26
1656,19
1657,13
1658,6
1659,21
1660,21
1661,31
1662,30
1663,31
1664,7
1665,13
1666,34
1667,19
1668,24
1669,8
1670,3
1671,22
1672,24
1673,15
1674,22
1675,14
1676,26
1677,14
1678,8
1679,25
1680,6
1681,5
1682,25
1683,3
1684,16
1685,11
1686,8
1687,30
1688,31
1689,8
1690,19
1691,5
1692,18
1693,1
1694,22
1695,29
1696,18
1697,8
1698,7
1699,5
1700,21
1701,26
1702,8
1703,25
1704,21
1705,11
1706,8
1707,7
1708,29
1709,31
1710,8
1711,7
1712,1
1713,8
1714,0
1715,8
1716,35
1717,23
1718,22
1719,16
1720,8
1721,24
1722,7
1723,8
1724,25
1725,3
1726,9
1727,16
1728,8
1729,23
1730,1
1731,39
1732,19
1733,8
1734,7
1735,27
1736,31
1737,9
1738,25
1739,4
1740,8
1741,17
1742,26
1743,8
1744,11
1745,38
1746,15
1747,31
1748,33
1749,9
1750,2
1751,29
1752,18
1753,0
1754,31
1755,19
1756,22
1757,8
1758,35
1759,30
1760,8
1761,14
1762,31
1763,21
1764,3
1765,14
1766,20
1767,31
1768,8
1769,8
1770,9
1771,19
1772,14
1773,31
1774,7
1775,32
1776,19
1777,31
1778,30
1779,8
1780,32
1781,26
1782,5
1783,33
1784,5
1785,21
1786,9
1787,31
1788,8
1789,8
1790,31
1791,8
1792,7
1793,14
1794,8
1795,31
1796,8
1797,11
1798,21
1799,20
1800,18
1801,17
1802,6
1803,8
1804,21
1805,24
1806,17
1807,24
1808,20
1809,23
1810,9
1811,22
1812,31
1813,30
1814,12
1815,31
1816,16
1817,25
1818,21
1819,36
1820,7
1821,1
1822,5
1823,32
1824,16
1825,27
1826,17
1827,8
1828,19
1829,24
1830,8
1831,8
1832,13
1833,8
1834,32
1835,7
1836,18
1837,19
1838,21
1839,14
1840,13
1841,27
1842,33
1843,34
1844,4
1845,31
1846,31
1847,35
1848,19
1849,8
1850,31
1851,1
1852,8
1853,30
1854,9
1855,40
1856,4
1857,3
1858,8
1859,16
1860,8
1861,33
1862,31
1863,8
1864,31
1865,3
1866,32
1867,24
1868,22
1869,16
1870,31
1871,19
1872,15
1873,31
1874,29
1875,8
1876,8
1877,18
1878,22
1879,10
1880,32
1881,19
1882,29
1883,31
1884,8
1885,9
1886,11
1887,8
1888,15
1889,7
1890,18
1891,33
1892,32
1893,1
1894,7
1895,15
1896,31
1897,5
1898,7
1899,8
1900,18
1901,32
1902,11
1903,31
1904,8
1905,31
1906,28
1907,20
1908,8
1909,7
1910,25
1911,18
1912,17
1913,8
1914,8
1915,31
1916,7
1917,35
1918,8
1919,21
1920,7
1921,7
1922,8
1923,21
1924,13
1925,11
1926,3
1927,26
1928,31
1929,3
1930,31
1931,8
1932,9
1933,21
1934,30
1935,7
1936,33
1937,5
1938,23
1939,7
1940,14
1941,25
1942,8
1943,31
1944,30
1945,8
1946,35
1947,8
1948,11
1949,30
1950,24
1951,19
1952,13
1953,23
1954,31
1955,8
1956,34
1957,34
1958,23
1959,26
1960,28
1961,8
1962,4
1963,30
1964,4
1965,14
1966,24
1967,7
1968,30
1969,7
1970,31
1971,28
1972,31
1973,22
1974,1
1975,8
1976,32
1977,4
1978,5
1979,31
1980,4
1981,34
1982,8
1983,12
1984,29
1985,31
1986,6
1987,8
1988,8
1989,29
1990,32
1991,14
1992,31
1993,21
1994,14
1995,8
1996,14
1997,16
1998,18
