,0
1891,2
1892,26
1893,3
1894,6
1895,0
1896,2
1897,1
1898,10
1899,14
1900,0
1901,27
1902,9
1903,20
1904,0
1905,20
1906,16
1907,4
1908,0
1909,2
1910,22
1911,12
1912,25
1913,4
1914,12
1915,0
1916,14
1917,28
1918,24
1919,3
1920,6
1921,4
1922,1
1923,5
1924,1
1925,9
1926,11
1927,16
1928,9
1929,26
1930,22
1931,27
1932,10
1933,28
1934,0
1935,12
1936,37
1937,25
1938,4
1939,21
1940,1
1941,11
1942,10
1943,18
1944,11
1945,12
1946,2
1947,11
1948,17
1949,8
1950,13
1951,15
1952,19
1953,10
1954,16
1955,0
1956,0
1957,6
1958,1
1959,16
1960,11
1961,2
1962,2
1963,12
1964,8
1965,0
1966,3
1967,1
1968,7
1969,16
1970,11
1971,8
1972,15
1973,3
1974,9
1975,7
1976,0
1977,10
1978,9
1979,15
1980,23
1981,13
1982,26
1983,6
1984,15
1985,19
1986,14
1987,11
1988,11
1989,2
1990,1
1991,1
1992,0
1993,8
1994,2
1995,4
1996,8
1997,4
1998,1
1999,20
2000,7
2001,0
2002,0
2003,1
2004,14
2005,7
2006,2
2007,7
2008,28
2009,22
2010,15
2011,3
2012,0
2013,4
2014,8
2015,1
2016,5
2017,18
2018,8
2019,8
2020,0
2021,23
2022,1
2023,6
2024,9
2025,7
2026,9
2027,10
2028,17
2029,5
2030,0
2031,27
2032,10
2033,2
2034,17
2035,0
2036,0
2037,4
2038,1
2039,16
2040,4
2041,1
2042,15
2043,0
2044,5
2045,25
2046,4
2047,4
2048,15
2049,1
2050,0
2051,8
2052,11
2053,7
2054,26
2055,2
2056,21
2057,1
2058,1
2059,0
2060,20
2061,9
2062,23
2063,0
2064,29
2065,15
2066,12
2067,1
2068,7
2069,1
2070,0
2071,7
2072,11
2073,0
2074,20
2075,4
2076,23
2077,21
2078,2
2079,11
2080,10
2081,3
2082,12
2083,3
2084,5
2085,7
2086,0
2087,2
2088,18
2089,9
2090,9
2091,2
2092,31
2093,2
2094,21
2095,12
2096,4
2097,5
2098,18
2099,14
2100,4
2101,19
2102,1
2103,4
2104,9
2105,11
2106,3
2107,16
2108,0
2109,12
2110,9
2111,5
2112,9
2113,10
2114,8
2115,7
2116,1
2117,3
2118,11
2119,4
2120,9
2121,22
2122,0
2123,13
2124,13
2125,3
2126,0
2127,10
2128,11
2129,0
2130,1
2131,6
2132,13
2133,1
2134,22
2135,0
2136,1
2137,6
2138,1
2139,0
2140,7
2141,3
2142,6
2143,12
2144,29
2145,4
2146,25
2147,12
2148,2
2149,0
2150,12
2151,12
2152,11
2153,5
2154,27
2155,11
2156,16
2157,0
2158,0
2159,11
2160,7
2161,10
2162,8
2163,10
2164,0
2165,11
2166,8
2167,4
2168,25
2169,0
2170,0
2171,5
2172,13
2173,12
2174,11
2175,15
2176,13
2177,1
2178,3
2179,2
2180,11
2181,31
2182,0
2183,20
2184,1
2185,21
2186,23
2187,3
2188,1
2189,26
2190,16
2191,13
2192,25
2193,7
2194,12
2195,1
2196,14
2197,16
2198,6
2199,22
2200,19
2201,14
2202,11
2203,10
2204,14
2205,4
2206,22
2207,9
2208,9
2209,5
2210,26
2211,11
2212,2
2213,10
2214,9
2215,4
2216,1
2217,8
2218,18
2219,1
2220,25
2221,3
2222,5
2223,13
2224,31
2225,5
2226,16
2227,2
2228,3
2229,15
2230,8
2231,4
2232,19
2233,4
2234,14
2235,6
2236,23
2237,17
2238,3
2239,4
2240,0
2241,14
2242,4
2243,1
2244,2
2245,9
2246,21
2247,16
2248,2
2249,2
2250,9
2251,1
2252,0
2253,1
2254,3
2255,3
2256,14
2257,22
2258,1
2259,0
2260,6
2261,0
2262,10
2263,1
2264,2
2265,18
2266,2
2267,3
2268,32
2269,14
2270,9
2271,20
2272,1
2273,22
2274,1
2275,0
2276,8
2277,19
2278,17
2279,3
2280,31
2281,4
2282,13
2283,32
2284,0
2285,28
2286,9
2287,2
2288,9
2289,16
2290,9
2291,0
2292,7
2293,6
2294,4
2295,1
2296,10
2297,9
2298,2
2299,0
2300,1
2301,22
2302,15
2303,20
2304,0
2305,7
2306,2
2307,23
2308,20
2309,6
2310,4
2311,6
2312,23
2313,19
2314,31
2315,24
2316,1
2317,18
2318,2
2319,7
2320,3
2321,18
2322,3
2323,3
2324,20
2325,13
2326,1
2327,3
2328,9
2329,10
2330,10
2331,1
2332,3
2333,1
2334,18
2335,9
2336,11
2337,23
2338,1
2339,1
2340,4
2341,8
2342,6
2343,12
2344,23
2345,1
2346,15
2347,21
2348,10
2349,17
2350,0
2351,0
2352,18
2353,4
2354,3
2355,1
2356,13
2357,23
2358,2
2359,2
2360,24
2361,16
2362,7
2363,36
2364,4
2365,0
2366,22
2367,10
2368,0
2369,0
2370,29
2371,6
2372,0
2373,1
2374,6
2375,9
2376,3
2377,30
2378,19
2379,21
2380,2
2381,14
2382,1
2383,29
2384,9
2385,26
2386,18
2387,0
2388,22
2389,0
2390,4
2391,29
2392,6
2393,38
2394,3
2395,7
2396,17
2397,0
2398,9
2399,14
2400,5
2401,10
2402,14
2403,9
2404,2
2405,0
2406,28
2407,20
2408,5
2409,1
2410,14
2411,3
2412,9
2413,1
2414,13
2415,14
2416,9
2417,35
2418,13
2419,13
2420,13
2421,10
2422,12
2423,22
2424,8
2425,1
2426,11
2427,0
2428,4
2429,8
2430,3
2431,10
2432,9
2433,1
2434,7
2435,22
2436,1
2437,9
2438,18
2439,6
2440,0
2441,0
2442,3
2443,5
2444,21
2445,12
2446,10
2447,12
2448,2
2449,11
2450,3
2451,0
2452,8
2453,7
2454,8
2455,13
2456,12
2457,20
2458,12
2459,0
2460,0
2461,11
2462,4
2463,9
2464,30
